State,County,Metal Level,Issuer Name,Plan ID (standard component),Plan Marketing Name,Plan Type,Premium Child,Standard Plan Cost Sharing,Medical Deductible-individual-standard,Medical Deductible-family-standard,Medical Maximum Out Of Pocket - individual - standard
NM,BERNALILLO,Silver,Blue Cross Blue Shield of New Mexico,75605NM0370004,Blue Advantage Silver HMO 004,HMO, 108.95 ,,"3,000","9,000","6,350"
NM,BERNALILLO,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0370005,Blue Advantage Bronze HMO 005,HMO, 84.06 ,,"5,000","12,700","6,250"
NM,BERNALILLO,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0370006,Blue Advantage Bronze HMO 006,HMO, 83.65 ,,"6,000","12,700","6,000"
NM,BERNALILLO,Gold,Blue Cross Blue Shield of New Mexico,75605NM0390001,Blue Community Gold HMO 001,HMO, 112.96 ,,"3,250","9,750","3,250"
NM,BERNALILLO,Gold,Blue Cross Blue Shield of New Mexico,75605NM0390002,Blue Community Gold HMO 002,HMO, 115.07 ,,"1,500","4,500","3,500"
NM,BERNALILLO,Silver,Blue Cross Blue Shield of New Mexico,75605NM0390003,Blue Community Silver HMO 003,HMO, 93.67 ,,"6,000","12,700","6,000"
NM,BERNALILLO,Silver,Blue Cross Blue Shield of New Mexico,75605NM0390004,Blue Community Silver HMO 004,HMO, 96.57 ,,"3,000","9,000","6,350"
NM,BERNALILLO,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0390005,Blue Community Bronze HMO 005,HMO, 76.87 ,,"5,000","12,700","6,250"
NM,BERNALILLO,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0390006,Blue Community Bronze HMO 006,HMO, 76.54 ,,"6,000","12,700","6,000"
NM,BERNALILLO,Gold,New Mexico Health Connections,93091NM0010001,Care Connect Gold 750 HMO,HMO, 113.92 ,,750,"1,500","6,000"
NM,BERNALILLO,Silver,New Mexico Health Connections,93091NM0010002,"Care Connect Silver 2,000 HMO",HMO, 108.34 ,,"2,000","4,000","6,350"
NM,BERNALILLO,Bronze,New Mexico Health Connections,93091NM0010006,Care Connect Bronze HMO,HMO, 80.43 ,,"2,500","5,000","6,350"
NM,BERNALILLO,Catastrophic,New Mexico Health Connections,93091NM0010007,Care Connect Catastrophic HMO,HMO, 71.56 ,,"6,350","12,700","6,350"
NM,BERNALILLO,Silver,New Mexico Health Connections,93091NM0020001,"UNM Care Connect 2,000",HMO, 117.43 ,,"2,000","4,000","6,350"
NM,BERNALILLO,Gold,New Mexico Health Connections,93091NM0030001,Choice Connect Gold  500 PPO,PPO, 133.88 ,,500,"1,000","5,000"
NM,BERNALILLO,Silver,New Mexico Health Connections,93091NM0030002,"Choice Connect Silver 2,000 PPO",PPO, 119.93 ,,"2,000","4,000","6,350"
NM,CATRON,Gold,"Molina Health Care of New Mexico, Inc.",19722NM0010001,Molina Marketplace Gold Plan,HMO, 161.42 ,,250,500,"6,350"
NM,CATRON,Silver,"Molina Health Care of New Mexico, Inc.",19722NM0010002,Molina Marketplace Silver Plan,HMO, 143.80 ,,"1,700","3,400","6,350"
NM,CATRON,Bronze,"Molina Health Care of New Mexico, Inc.",19722NM0010003,Molina Marketplace Bronze Plan,HMO, 126.50 ,,"4,000","8,000","6,350"
NM,CATRON,Gold,Presbyterian Health Plan,57173NM0120001,Individual Gold Plan A,HMO, 173.49 ,,0,0,"6,350"
NM,CATRON,Gold,Presbyterian Health Plan,57173NM0120002,Individual Gold Plan B,HMO, 182.59 ,,250,500,"6,350"
NM,CATRON,Gold,Presbyterian Health Plan,57173NM0120003,Individual Gold Plan C,HMO, 171.14 ,,"1,000","2,000","6,350"
NM,CATRON,Silver,Presbyterian Health Plan,57173NM0130001,Individual Silver Plan A,HMO, 148.07 ,,250,500,"6,350"
NM,CATRON,Silver,Presbyterian Health Plan,57173NM0130005,Individual Silver Plan B,HMO, 149.84 ,,"1,300","2,600","6,350"
NM,CATRON,Silver,Presbyterian Health Plan,57173NM0130009,Individual Silver Plan C,HMO, 140.29 ,,"2,500","5,000","6,350"
NM,CATRON,Silver,Presbyterian Health Plan,57173NM0130013,Individual Silver Plan D,HMO, 131.47 ,,"5,000","10,000","6,350"
NM,CATRON,Bronze,Presbyterian Health Plan,57173NM0140001,Individual Bronze Plan A,HMO, 118.40 ,,"2,500","5,000","6,350"
NM,CATRON,Bronze,Presbyterian Health Plan,57173NM0140002,Individual Bronze Plan B,HMO, 117.52 ,,"4,000","8,000","6,350"
NM,CATRON,Bronze,Presbyterian Health Plan,57173NM0140003,Individual Bronze Plan C,HMO, 111.50 ,,"6,350","12,700","6,350"
NM,CATRON,Catastrophic,Presbyterian Health Plan,57173NM0150001,Individual Catastrophic Plan,HMO, 79.91 ,,"6,350","12,700","6,350"
NM,CATRON,Gold,Blue Cross Blue Shield of New Mexico,75605NM0330001,Blue PPO Gold 001,PPO, 178.04 ,,"3,250","9,750","3,250"
NM,CATRON,Gold,Blue Cross Blue Shield of New Mexico,75605NM0330002,Blue PPO Gold 002,PPO, 180.78 ,,"1,500","4,500","3,500"
NM,CATRON,Silver,Blue Cross Blue Shield of New Mexico,75605NM0330003,Blue PPO Silver 003,PPO, 150.10 ,,"6,000","12,700","6,000"
NM,CATRON,Silver,Blue Cross Blue Shield of New Mexico,75605NM0330004,Blue PPO Silver 004,PPO, 153.94 ,,"3,000","9,000","6,350"
NM,CATRON,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0330005,Blue PPO Bronze 005,PPO, 122.20 ,,"5,000","12,700","6,250"
NM,CATRON,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0330006,Blue PPO Bronze 006,PPO, 121.49 ,,"6,000","12,700","6,000"
NM,CATRON,Catastrophic,Blue Cross Blue Shield of New Mexico,75605NM0330010,Blue Security PPO 010,PPO, 121.88 ,,"6,350","12,700","6,350"
NM,CATRON,Gold,Blue Cross Blue Shield of New Mexico,75605NM0350001,"BCBS Premier 1, MSP 1,000/2,750",PPO, 185.96 ,,"1,000","3,000","2,750"
NM,CATRON,Gold,Blue Cross Blue Shield of New Mexico,75605NM0350002,"BCBS Premier 2, MSP 500/4,000",PPO, 183.92 ,,500,"1,500","4,000"
NM,CATRON,Silver,Blue Cross Blue Shield of New Mexico,75605NM0350003,"BCBS Solution 3, MSP 4,500/6,350",PPO, 150.90 ,,"4,500","12,700","6,350"
NM,CATRON,Silver,Blue Cross Blue Shield of New Mexico,75605NM0350004,"BCBS Solution 4, MSP 6,250/6,250",PPO, 146.84 ,,"6,250","12,700","6,250"
NM,CATRON,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0350005,"BCBS Basic 5, MSP 3,750/6,250",PPO, 125.08 ,,"3,750","11,250","6,250"
NM,CATRON,Gold,Blue Cross Blue Shield of New Mexico,75605NM0390001,Blue Community Gold HMO 001,HMO, 156.60 ,,"3,250","9,750","3,250"
NM,CATRON,Gold,Blue Cross Blue Shield of New Mexico,75605NM0390002,Blue Community Gold HMO 002,HMO, 159.52 ,,"1,500","4,500","3,500"
NM,CATRON,Silver,Blue Cross Blue Shield of New Mexico,75605NM0390003,Blue Community Silver HMO 003,HMO, 129.86 ,,"6,000","12,700","6,000"
NM,CATRON,Silver,Blue Cross Blue Shield of New Mexico,75605NM0390004,Blue Community Silver HMO 004,HMO, 133.89 ,,"3,000","9,000","6,350"
NM,CATRON,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0390005,Blue Community Bronze HMO 005,HMO, 106.56 ,,"5,000","12,700","6,250"
NM,CATRON,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0390006,Blue Community Bronze HMO 006,HMO, 106.12 ,,"6,000","12,700","6,000"
NM,CATRON,Gold,New Mexico Health Connections,93091NM0010001,Care Connect Gold 750 HMO,HMO, 138.87 ,,750,"1,500","6,000"
NM,CATRON,Silver,New Mexico Health Connections,93091NM0010002,"Care Connect Silver 2,000 HMO",HMO, 132.07 ,,"2,000","4,000","6,350"
NM,CATRON,Bronze,New Mexico Health Connections,93091NM0010006,Care Connect Bronze HMO,HMO, 98.05 ,,"2,500","5,000","6,350"
NM,CATRON,Catastrophic,New Mexico Health Connections,93091NM0010007,Care Connect Catastrophic HMO,HMO, 87.23 ,,"6,350","12,700","6,350"
NM,CATRON,Gold,New Mexico Health Connections,93091NM0030001,Choice Connect Gold  500 PPO,PPO, 163.21 ,,500,"1,000","5,000"
NM,CATRON,Silver,New Mexico Health Connections,93091NM0030002,"Choice Connect Silver 2,000 PPO",PPO, 146.20 ,,"2,000","4,000","6,350"
NM,CHAVES,Gold,"Molina Health Care of New Mexico, Inc.",19722NM0010001,Molina Marketplace Gold Plan,HMO, 161.42 ,,250,500,"6,350"
NM,CHAVES,Silver,"Molina Health Care of New Mexico, Inc.",19722NM0010002,Molina Marketplace Silver Plan,HMO, 143.80 ,,"1,700","3,400","6,350"
NM,CHAVES,Bronze,"Molina Health Care of New Mexico, Inc.",19722NM0010003,Molina Marketplace Bronze Plan,HMO, 126.50 ,,"4,000","8,000","6,350"
NM,CHAVES,Gold,Presbyterian Health Plan,57173NM0120001,Individual Gold Plan A,HMO, 173.49 ,,0,0,"6,350"
NM,CHAVES,Gold,Presbyterian Health Plan,57173NM0120002,Individual Gold Plan B,HMO, 182.59 ,,250,500,"6,350"
NM,CHAVES,Gold,Presbyterian Health Plan,57173NM0120003,Individual Gold Plan C,HMO, 171.14 ,,"1,000","2,000","6,350"
NM,CHAVES,Silver,Presbyterian Health Plan,57173NM0130001,Individual Silver Plan A,HMO, 148.07 ,,250,500,"6,350"
NM,CHAVES,Silver,Presbyterian Health Plan,57173NM0130005,Individual Silver Plan B,HMO, 149.84 ,,"1,300","2,600","6,350"
NM,CHAVES,Silver,Presbyterian Health Plan,57173NM0130009,Individual Silver Plan C,HMO, 140.29 ,,"2,500","5,000","6,350"
NM,CHAVES,Silver,Presbyterian Health Plan,57173NM0130013,Individual Silver Plan D,HMO, 131.47 ,,"5,000","10,000","6,350"
NM,CHAVES,Bronze,Presbyterian Health Plan,57173NM0140001,Individual Bronze Plan A,HMO, 118.40 ,,"2,500","5,000","6,350"
NM,CHAVES,Bronze,Presbyterian Health Plan,57173NM0140002,Individual Bronze Plan B,HMO, 117.52 ,,"4,000","8,000","6,350"
NM,CHAVES,Bronze,Presbyterian Health Plan,57173NM0140003,Individual Bronze Plan C,HMO, 111.50 ,,"6,350","12,700","6,350"
NM,CHAVES,Catastrophic,Presbyterian Health Plan,57173NM0150001,Individual Catastrophic Plan,HMO, 79.91 ,,"6,350","12,700","6,350"
NM,CHAVES,Gold,Blue Cross Blue Shield of New Mexico,75605NM0330001,Blue PPO Gold 001,PPO, 178.04 ,,"3,250","9,750","3,250"
NM,CHAVES,Gold,Blue Cross Blue Shield of New Mexico,75605NM0330002,Blue PPO Gold 002,PPO, 180.78 ,,"1,500","4,500","3,500"
NM,CHAVES,Silver,Blue Cross Blue Shield of New Mexico,75605NM0330003,Blue PPO Silver 003,PPO, 150.10 ,,"6,000","12,700","6,000"
NM,CHAVES,Silver,Blue Cross Blue Shield of New Mexico,75605NM0330004,Blue PPO Silver 004,PPO, 153.94 ,,"3,000","9,000","6,350"
NM,CHAVES,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0330005,Blue PPO Bronze 005,PPO, 122.20 ,,"5,000","12,700","6,250"
NM,CHAVES,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0330006,Blue PPO Bronze 006,PPO, 121.49 ,,"6,000","12,700","6,000"
NM,CHAVES,Catastrophic,Blue Cross Blue Shield of New Mexico,75605NM0330010,Blue Security PPO 010,PPO, 121.88 ,,"6,350","12,700","6,350"
NM,CHAVES,Gold,Blue Cross Blue Shield of New Mexico,75605NM0350001,"BCBS Premier 1, MSP 1,000/2,750",PPO, 185.96 ,,"1,000","3,000","2,750"
NM,CHAVES,Gold,Blue Cross Blue Shield of New Mexico,75605NM0350002,"BCBS Premier 2, MSP 500/4,000",PPO, 183.92 ,,500,"1,500","4,000"
NM,CHAVES,Silver,Blue Cross Blue Shield of New Mexico,75605NM0350003,"BCBS Solution 3, MSP 4,500/6,350",PPO, 150.90 ,,"4,500","12,700","6,350"
NM,CHAVES,Silver,Blue Cross Blue Shield of New Mexico,75605NM0350004,"BCBS Solution 4, MSP 6,250/6,250",PPO, 146.84 ,,"6,250","12,700","6,250"
NM,CHAVES,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0350005,"BCBS Basic 5, MSP 3,750/6,250",PPO, 125.08 ,,"3,750","11,250","6,250"
NM,CHAVES,Gold,Blue Cross Blue Shield of New Mexico,75605NM0390001,Blue Community Gold HMO 001,HMO, 156.60 ,,"3,250","9,750","3,250"
NM,CHAVES,Gold,Blue Cross Blue Shield of New Mexico,75605NM0390002,Blue Community Gold HMO 002,HMO, 159.52 ,,"1,500","4,500","3,500"
NM,CHAVES,Silver,Blue Cross Blue Shield of New Mexico,75605NM0390003,Blue Community Silver HMO 003,HMO, 129.86 ,,"6,000","12,700","6,000"
NM,CHAVES,Silver,Blue Cross Blue Shield of New Mexico,75605NM0390004,Blue Community Silver HMO 004,HMO, 133.89 ,,"3,000","9,000","6,350"
NM,CHAVES,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0390005,Blue Community Bronze HMO 005,HMO, 106.56 ,,"5,000","12,700","6,250"
NM,CHAVES,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0390006,Blue Community Bronze HMO 006,HMO, 106.12 ,,"6,000","12,700","6,000"
NM,CHAVES,Gold,New Mexico Health Connections,93091NM0010001,Care Connect Gold 750 HMO,HMO, 138.87 ,,750,"1,500","6,000"
NM,CHAVES,Silver,New Mexico Health Connections,93091NM0010002,"Care Connect Silver 2,000 HMO",HMO, 132.07 ,,"2,000","4,000","6,350"
NM,CHAVES,Bronze,New Mexico Health Connections,93091NM0010006,Care Connect Bronze HMO,HMO, 98.05 ,,"2,500","5,000","6,350"
NM,CHAVES,Catastrophic,New Mexico Health Connections,93091NM0010007,Care Connect Catastrophic HMO,HMO, 87.23 ,,"6,350","12,700","6,350"
NM,CHAVES,Gold,New Mexico Health Connections,93091NM0030001,Choice Connect Gold  500 PPO,PPO, 163.21 ,,500,"1,000","5,000"
NM,CHAVES,Silver,New Mexico Health Connections,93091NM0030002,"Choice Connect Silver 2,000 PPO",PPO, 146.20 ,,"2,000","4,000","6,350"
NM,CIBOLA,Gold,"Molina Health Care of New Mexico, Inc.",19722NM0010001,Molina Marketplace Gold Plan,HMO, 161.42 ,,250,500,"6,350"
NM,CIBOLA,Silver,"Molina Health Care of New Mexico, Inc.",19722NM0010002,Molina Marketplace Silver Plan,HMO, 143.80 ,,"1,700","3,400","6,350"
NM,CIBOLA,Bronze,"Molina Health Care of New Mexico, Inc.",19722NM0010003,Molina Marketplace Bronze Plan,HMO, 126.50 ,,"4,000","8,000","6,350"
NM,CIBOLA,Gold,Presbyterian Health Plan,57173NM0120001,Individual Gold Plan A,HMO, 173.49 ,,0,0,"6,350"
NM,CIBOLA,Gold,Presbyterian Health Plan,57173NM0120002,Individual Gold Plan B,HMO, 182.59 ,,250,500,"6,350"
NM,CIBOLA,Gold,Presbyterian Health Plan,57173NM0120003,Individual Gold Plan C,HMO, 171.14 ,,"1,000","2,000","6,350"
NM,CIBOLA,Silver,Presbyterian Health Plan,57173NM0130001,Individual Silver Plan A,HMO, 148.07 ,,250,500,"6,350"
NM,CIBOLA,Silver,Presbyterian Health Plan,57173NM0130005,Individual Silver Plan B,HMO, 149.84 ,,"1,300","2,600","6,350"
NM,CIBOLA,Silver,Presbyterian Health Plan,57173NM0130009,Individual Silver Plan C,HMO, 140.29 ,,"2,500","5,000","6,350"
NM,CIBOLA,Silver,Presbyterian Health Plan,57173NM0130013,Individual Silver Plan D,HMO, 131.47 ,,"5,000","10,000","6,350"
NM,CIBOLA,Bronze,Presbyterian Health Plan,57173NM0140001,Individual Bronze Plan A,HMO, 118.40 ,,"2,500","5,000","6,350"
NM,CIBOLA,Bronze,Presbyterian Health Plan,57173NM0140002,Individual Bronze Plan B,HMO, 117.52 ,,"4,000","8,000","6,350"
NM,CIBOLA,Bronze,Presbyterian Health Plan,57173NM0140003,Individual Bronze Plan C,HMO, 111.50 ,,"6,350","12,700","6,350"
NM,CIBOLA,Catastrophic,Presbyterian Health Plan,57173NM0150001,Individual Catastrophic Plan,HMO, 79.91 ,,"6,350","12,700","6,350"
NM,CIBOLA,Gold,Blue Cross Blue Shield of New Mexico,75605NM0330001,Blue PPO Gold 001,PPO, 178.04 ,,"3,250","9,750","3,250"
NM,CIBOLA,Gold,Blue Cross Blue Shield of New Mexico,75605NM0330002,Blue PPO Gold 002,PPO, 180.78 ,,"1,500","4,500","3,500"
NM,CIBOLA,Silver,Blue Cross Blue Shield of New Mexico,75605NM0330003,Blue PPO Silver 003,PPO, 150.10 ,,"6,000","12,700","6,000"
NM,CIBOLA,Silver,Blue Cross Blue Shield of New Mexico,75605NM0330004,Blue PPO Silver 004,PPO, 153.94 ,,"3,000","9,000","6,350"
NM,CIBOLA,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0330005,Blue PPO Bronze 005,PPO, 122.20 ,,"5,000","12,700","6,250"
NM,CIBOLA,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0330006,Blue PPO Bronze 006,PPO, 121.49 ,,"6,000","12,700","6,000"
NM,CIBOLA,Catastrophic,Blue Cross Blue Shield of New Mexico,75605NM0330010,Blue Security PPO 010,PPO, 121.88 ,,"6,350","12,700","6,350"
NM,CIBOLA,Gold,Blue Cross Blue Shield of New Mexico,75605NM0350001,"BCBS Premier 1, MSP 1,000/2,750",PPO, 185.96 ,,"1,000","3,000","2,750"
NM,CIBOLA,Gold,Blue Cross Blue Shield of New Mexico,75605NM0350002,"BCBS Premier 2, MSP 500/4,000",PPO, 183.92 ,,500,"1,500","4,000"
NM,CIBOLA,Silver,Blue Cross Blue Shield of New Mexico,75605NM0350003,"BCBS Solution 3, MSP 4,500/6,350",PPO, 150.90 ,,"4,500","12,700","6,350"
NM,CIBOLA,Silver,Blue Cross Blue Shield of New Mexico,75605NM0350004,"BCBS Solution 4, MSP 6,250/6,250",PPO, 146.84 ,,"6,250","12,700","6,250"
NM,CIBOLA,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0350005,"BCBS Basic 5, MSP 3,750/6,250",PPO, 125.08 ,,"3,750","11,250","6,250"
NM,CIBOLA,Gold,Blue Cross Blue Shield of New Mexico,75605NM0390001,Blue Community Gold HMO 001,HMO, 156.60 ,,"3,250","9,750","3,250"
NM,CIBOLA,Gold,Blue Cross Blue Shield of New Mexico,75605NM0390002,Blue Community Gold HMO 002,HMO, 159.52 ,,"1,500","4,500","3,500"
NM,CIBOLA,Silver,Blue Cross Blue Shield of New Mexico,75605NM0390003,Blue Community Silver HMO 003,HMO, 129.86 ,,"6,000","12,700","6,000"
NM,CIBOLA,Silver,Blue Cross Blue Shield of New Mexico,75605NM0390004,Blue Community Silver HMO 004,HMO, 133.89 ,,"3,000","9,000","6,350"
NM,CIBOLA,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0390005,Blue Community Bronze HMO 005,HMO, 106.56 ,,"5,000","12,700","6,250"
NM,CIBOLA,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0390006,Blue Community Bronze HMO 006,HMO, 106.12 ,,"6,000","12,700","6,000"
NM,CIBOLA,Gold,New Mexico Health Connections,93091NM0010001,Care Connect Gold 750 HMO,HMO, 138.87 ,,750,"1,500","6,000"
NM,CIBOLA,Silver,New Mexico Health Connections,93091NM0010002,"Care Connect Silver 2,000 HMO",HMO, 132.07 ,,"2,000","4,000","6,350"
NM,CIBOLA,Bronze,New Mexico Health Connections,93091NM0010006,Care Connect Bronze HMO,HMO, 98.05 ,,"2,500","5,000","6,350"
NM,CIBOLA,Catastrophic,New Mexico Health Connections,93091NM0010007,Care Connect Catastrophic HMO,HMO, 87.23 ,,"6,350","12,700","6,350"
NM,CIBOLA,Gold,New Mexico Health Connections,93091NM0030001,Choice Connect Gold  500 PPO,PPO, 163.21 ,,500,"1,000","5,000"
NM,CIBOLA,Silver,New Mexico Health Connections,93091NM0030002,"Choice Connect Silver 2,000 PPO",PPO, 146.20 ,,"2,000","4,000","6,350"
NM,COLFAX,Gold,"Molina Health Care of New Mexico, Inc.",19722NM0010001,Molina Marketplace Gold Plan,HMO, 161.42 ,,250,500,"6,350"
NM,COLFAX,Silver,"Molina Health Care of New Mexico, Inc.",19722NM0010002,Molina Marketplace Silver Plan,HMO, 143.80 ,,"1,700","3,400","6,350"
NM,COLFAX,Bronze,"Molina Health Care of New Mexico, Inc.",19722NM0010003,Molina Marketplace Bronze Plan,HMO, 126.50 ,,"4,000","8,000","6,350"
NM,COLFAX,Gold,Presbyterian Health Plan,57173NM0120001,Individual Gold Plan A,HMO, 173.49 ,,0,0,"6,350"
NM,COLFAX,Gold,Presbyterian Health Plan,57173NM0120002,Individual Gold Plan B,HMO, 182.59 ,,250,500,"6,350"
NM,COLFAX,Gold,Presbyterian Health Plan,57173NM0120003,Individual Gold Plan C,HMO, 171.14 ,,"1,000","2,000","6,350"
NM,COLFAX,Silver,Presbyterian Health Plan,57173NM0130001,Individual Silver Plan A,HMO, 148.07 ,,250,500,"6,350"
NM,COLFAX,Silver,Presbyterian Health Plan,57173NM0130005,Individual Silver Plan B,HMO, 149.84 ,,"1,300","2,600","6,350"
NM,COLFAX,Silver,Presbyterian Health Plan,57173NM0130009,Individual Silver Plan C,HMO, 140.29 ,,"2,500","5,000","6,350"
NM,COLFAX,Silver,Presbyterian Health Plan,57173NM0130013,Individual Silver Plan D,HMO, 131.47 ,,"5,000","10,000","6,350"
NM,COLFAX,Bronze,Presbyterian Health Plan,57173NM0140001,Individual Bronze Plan A,HMO, 118.40 ,,"2,500","5,000","6,350"
NM,COLFAX,Bronze,Presbyterian Health Plan,57173NM0140002,Individual Bronze Plan B,HMO, 117.52 ,,"4,000","8,000","6,350"
NM,COLFAX,Bronze,Presbyterian Health Plan,57173NM0140003,Individual Bronze Plan C,HMO, 111.50 ,,"6,350","12,700","6,350"
NM,COLFAX,Catastrophic,Presbyterian Health Plan,57173NM0150001,Individual Catastrophic Plan,HMO, 79.91 ,,"6,350","12,700","6,350"
NM,COLFAX,Gold,Blue Cross Blue Shield of New Mexico,75605NM0330001,Blue PPO Gold 001,PPO, 178.04 ,,"3,250","9,750","3,250"
NM,COLFAX,Gold,Blue Cross Blue Shield of New Mexico,75605NM0330002,Blue PPO Gold 002,PPO, 180.78 ,,"1,500","4,500","3,500"
NM,COLFAX,Silver,Blue Cross Blue Shield of New Mexico,75605NM0330003,Blue PPO Silver 003,PPO, 150.10 ,,"6,000","12,700","6,000"
NM,COLFAX,Silver,Blue Cross Blue Shield of New Mexico,75605NM0330004,Blue PPO Silver 004,PPO, 153.94 ,,"3,000","9,000","6,350"
NM,COLFAX,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0330005,Blue PPO Bronze 005,PPO, 122.20 ,,"5,000","12,700","6,250"
